east_west,plot,in_out,tree,species,ht_ft,ht_m,diameter,leaders,ht_at_fork,dfv_mm,deformity_y_n,deformity_type,rotation_risk_y_n,deformity_ht,deformity_dfs_mm,comments
West,9,In,61,DF,16.1,4.91,71.03,1,,,Y,BD,N,1.52,0,"Likely Phomopsis canker, chlorotic"
West,9,In,62,WRC,15.4,4.69,79.46,1,,,N,,N,,,
West,8,In,1,WRC,5.5,1.68,9.46,1,,,Y,SW,N,0,170,"Chlorotic, natural regen"
West,8,In,2,WRC,5.9,1.8,13.75,1,,,N,,N,,,natrual regen
West,8,In,3,WRC,16.2,4.94,86.52,1,,270,Y,SW,N,0,270,
West,8,In,4,WRC,1.85,1.85,10.43,1,,,N,,N,,,natural regen
West,8,In,5,WRC,1.53,1.53,6.03,1,,,Y,SW,N,0,90,natural regen
West,8,In,6,WRC,2.24,0.68,13.46,1,,,Y,SW,N,0,175,natural regen
West,8,In,7,WRC,2.27,0.69,16.86,1,,,Y,CR,N,0.73,25,natural regen
West,8,In,8,DF,14.7,4.48,63.18,1,,,Y,BD,N,1.1,0,
West,8,In,9,WRC,12.7,3.87,53.57,1,,80,Y,SW,N,0,80,
West,8,In,10,WRC,14.2,4.33,79.18,1,,,N,,N,,,
West,8,In,11,WRC,2.19,0.67,24.55,1,,,Y,SW,N,0,205,natural regen
West,8,In,12,WRC,8.6,2.62,28.37,1,,90,Y,SW,N,0,90,
West,8,In,13,DF,18.4,5.61,80.37,1,,150,Y,SW,N,0,150,
West,8,In,14,WRC,0.92,0.92,8.07,1,,,Y,SW,N,0,155,"measurements at 0.5 m, natural regen"
West,8,In,15,WRC,13,3.96,51.75,1,,85,N,,N,,,
West,8,In,16,WRC,6.2,1.89,11.18,1,,,N,,N,,,natural regen
West,8,In,17,DF,7.7,2.35,16.44,1,,,Y,BD,N,0.72,0,"some dead needles, fungal damage to branches. natural regen"
West,8,In,17,,, ,,,,,Y,BD,N,0.91,0,Likely Phomopsis canker
West,8,In,17,,, ,,,,,Y,SW,N,0,105,
West,8,In,18,DF,7.1,2.16,15.67,1,,,N,,N,,,natural regen
West,8,In,19,DF,19.2,5.85,100.78,1,,170,Y,BD,N,0.15,0,Likely Phomopsis canker
West,8,In,19,,, ,,,,,Y,BD,N,0.36,0,Likely Phomopsis canker
West,8,In,19,,, ,,,,,Y,BD,N,0.55,0,Likely Phomopsis canker
West,8,In,19,,, ,,,,,Y,SK,N,1.2,0,
West,8,In,20,WRC,2.53,0.77,21.53,1,,,N,,N,,,natural regen
West,8,In,21,WRC,14,4.27,75.64,1,,,N,,N,,,
West,8,In,22,WRC,1.28,1.28,3.8,1,,,Y,SW,N,0,145,natural regen
West,8,In,23,DF,13.2,4.02,51.45,1,,,Y,SK,N,0.1,0,
West,8,In,24,WRC,8.9,2.71,32.81,1,,,Y,SW,N,0,90,chlorotic
West,8,In,25,DF,22.3,6.8,106.8,1,,,Y,BD,N,0.9,0,
West,8,In,25,,, ,,,,,Y,BD,N,1.2,0,
West,8,In,25,,, ,,,,,Y,SW,N,0,240,
West,8,In,26,WRC,14.5,4.42,77.25,1,,,N,,N,,,
West,8,In,27,WRC,1.8,1.8,10.68,1,,,N,,N,,,natural regen
West,8,In,28,WRC,1.13,1.13,9.14,1,,,Y,L,N,0,60,"measurement at 0.5m, natural regen"
West,8,In,29,WRC,2.32,0.71,27.04,1,,,N,,N,,,
West,8,In,30,WRC,2.37,0.72,25.75,1,,,N,,N,,,
West,8,In,31,WRC,1.04,1.04,9.48,1,,,N,,N,,,"natural regen, measured at 0.5m"
West,8,In,32,WRC,1.58,1.58,6.84,1,,,N,,N,,,natural regen
West,8,In,33,WRC,1.74,1.74,12.63,1,,,N,,N,,,natural regen
West,8,In,34,DF,10.4,3.17,31.6,1,,,Y,BD,N,0.65,0,"likely natural regen, some dead needles. Likely Phomopsis canker"
West,8,In,34,,, ,,,,,Y,BD,N,0.3,0,Likely Phomopsis canker
West,8,In,34,,, ,,,,,Y,BD,N,0.1,0,Likely Phomopsis canker
West,8,In,34,,, ,,,,,Y,SW,N,0,165,
West,8,In,35,WRC,13.4,4.08,58.8,1,,105,N,,N,,,
West,8,In,36,WRC,14.1,4.3,71.46,1,,60,N,,N,,,
West,8,In,37,DF,11.4,3.47,35.38,1,,,Y,BD,N,1.63,0,"Some dead needles, fungal damage to branches. Likely Phomopsis canker"
West,8,In,38,WRC,11.2,3.41,43.3,1,,,N,,N,,,
West,8,In,39,DF,9.7,2.96,31.07,1,,,N,,N,,,natural regen
West,8,In,40,WRC,1.15,1.15,8.79,3,0.07,,Y,L,N,0,120,"measurements at 0.5 m, natural regen"
West,8,In,40,,, ,,,0.12,,,,,,,
West,8,In,41,WRC,11.2,3.41,50.64,1,,,N,,N,,,
West,8,In,42,WRC,1.31,1.31,11.4,1,,,Y,SW,N,0,45,"measurements at 0.5 m, natural regen"
West,8,In,43,WRC,1.07,1.07,8.29,1,,,Y,CR,N,0.25,33,"measurements at 0.5 m, natural regen"
West,8,In,44,WRC,12.6,3.84,46.75,1,,,Y,SK,N,0.98,0,Chlorotic
West,8,In,45,WRC,13.3,4.05,69.75,1,,,Y,SW,N,0,70,
West,8,In,46,DF,16,4.88,69.76,1,,,Y,BD,N,1,0,Some dead needles. Likely Phomopsis canker
West,8,In,46,,, ,,,,,Y,BD,N,1.45,0,Likely Phomopsis canker
West,8,In,47,WRC,1.62,1.62,7.48,1,,,Y,SW,N,0,120,"natural regen, slightly chlorotic"
West,8,In,48,WRC,14.2,4.33,59.29,1,,,Y,SW,N,0,50,
West,8,In,49,WRC,0.8,0.8,9.4,1,,,Y,CR,N,0.33,40,"natural regen, measured at 0.5m"
West,8,In,49,,, ,,,,,Y,L,N,0,150,
West,8,In,50,WRC,1.89,1.89,16.53,1,,,Y,SW,N,0,90,"slightly chlorotic, some dead branches"
West,8,In,51,WRC,16.2,4.94,98.25,1,,,N,,N,,,
West,8,In,52,DF,7.4,2.26,18.62,1,,,N,,N,,,natural regen
West,8,In,53,WRC,1.13,1.13,9,3,0.18,,Y,L,N,0,60,"natural regen, measured at 0.5m"
West,8,In,53,,, ,,,0.35,,,,,,,
West,8,In,54,WRC,12.5,3.81,58.7,1,,,Y,SW,N,0,70,
West,8,In,55,WRC,1.41,1.41,6.56,1,,,Y,SW,N,0,40,"natural regen, original leader dead"
West,8,In,56,DF,13.6,4.15,59.97,1,,215,Y,SW,N,0,215,some dead needles
West,8,In,57,WRC,0.6,0.6,11.99,2,0.37,,Y,SW,N,0,100,"natural regen, measured at 0.5m"
West,8,In,58,DF,14.5,4.42,52.69,1,,30,N,,N,,,
West,8,In,59,WRC,1.34,1.34,4.57,1,,,Y,SW,N,0,160,natural regen
West,8,In,60,DF,13.4,4.08,53.17,1,,,N,,N,,,some dead needles
West,8,In,61,WRC,1.65,1.65,8.01,1,,,Y,SW,N,0,65,Natural regen
West,8,In,62,DF,10.6,3.23,41.79,1,,,N,,N,,,short branches
West,8,In,63,WRC,1.27,1.27,12.81,1,,,Y,CR,N,0.4,30,"natural regen, measured at 0.5m"
West,8,In,64,WRC,9.2,2.8,38.44,1,,,N,,N,,,
West,8,In,65,WRC,1.46,1.46,8.17,1,,,Y,SW,N,0,115,natural regen
West,8,In,66,WRC,1.52,1.52,9.02,1,,,Y,SW,N,0,90,natural regen
West,8,In,67,WRC,1.24,1.24,11.15,1,,,N,,N,,,"natural regen, measured at 0.5m"
West,8,In,68,WRC,12.8,3.9,58.21,1,,,Y,SW,N,0,95,
West,8,In,69,DF,19.9,6.07,82.75,1,,,N,,N,,,
West,8,In,70,WRC,1.03,1.03,8.3,1,,,Y,L,N,0,80,"natural regen, chlorotic, measured at 0.5m"
West,7,In,1,WRC,13.3,4.05,62.37,1,,50,N,,N,,,
West,7,In,2,WRC,4.5,1.37,4.4,1,,,N,,N,,,Natural regen
West,7,In,3,DF,12,3.66,35.74,1,,60,N,,N,,,
West,7,In,4,DF,13.7,4.18,54.77,1,,,N,,N,,,
West,7,In,5,WRC,5.3,1.62,9.64,1,,,N,,N,,,natural regen
West,7,In,6,DF,14.6,4.45,59.03,1,,30,N,,N,,,
West,7,In,7,WRC,9.4,2.87,38.74,1,,25,Y,SK,N,2.35,20,DFS for SK est
West,7,In,8,WRC,4.2,1.28,3.1,1,,,Y,CR,N,0.35,10,Natural regen 
West,7,In,9,WRC,5.4,1.65,6.81,1,,105,Y,CR,N,0.36,60,natural regen. 105 DFS due to CR
West,7,In,10,WRC,3.9,1.19,6.46,1,,,N,,N,,,"natural regen, m @ 0.5m"
West,7,In,11,WRC,14.8,4.51,75.45,1,,20,N,,N,,,
West,7,In,12,WRC,4,1.22,10.03,1,,,N,,N,,,"Natural regen, m @ 0.5m"
West,7,In,13,WRC,13.4,4.08,58.58,1,,80,Y,BD,N,0.81,0,
West,7,In,13,,, ,,,,,Y,BD,N,0.92,0,
West,7,In,13,,, ,,,,,Y,BD,N,1.16,0,
West,7,In,14,WRC,6.6,2.01,24.6,1,,,N,,N,,,
West,7,In,15,WRC,0.57,0.57,4.75,1,,,Y,SW,N,0,390,"natural regen, m @ 0.5m"
West,7,In,16,WRC,4.6,1.4,4.75,1,,,N,,N,,,natural regen
West,7,In,17,DF,20.1,6.13,70.82,1,,95,Y,SW,N,0,95,
West,7,In,17,,, ,,,,,Y,BD,N,0.49,0,rub from other tree 
West,7,In,17,,, ,,,,,Y,BD,N,1.55,0,Likely Phomopsis canker
West,7,In,17,,, ,,,,,Y,BD,N,1.04,0,Likely Phomopsis canker
West,7,In,17,,,,,,,,Y,BD,N,1.22,0,Likely Phomopsis canker
West,7,In,17,,,,,,,,Y,BD,N,1.83,0,rub from other tree 
West,7,In,18,DF,11.3,3.44,34.74,1,,,Y,BD,N,1.05,0,Likely Phomopsis canker
West,7,In,18,,, ,,,,,Y,CR,N,1.25,9,
West,7,In,19,WRC,4,1.22,9.07,2,0.66,,Y,SK,N,0.1,0,"natural regen, D @ 0.5m "
West,7,In,19,,, ,,,,,Y,SK,N,0.07,0,
West,7,In,19,,, ,,,,,Y,SK,N,0.14,0,
West,7,In,20,WRC,11.1,3.38,36.75,1,,25,N,,N,,,
West,7,In,21,WRC,13.1,3.99,57.03,1,,,N,,N,,,
West,7,In,22,DF,15,4.57,,1,,,Y,BD,N,1.07,0,Some dead needles. Likely Phomopsis canker. Missed collecting or recording diameter in field
West,7,In,22,,, ,,,,,Y,BD,N,1.19,0,Likely Phomopsis canker
West,7,In,22,,, ,,,,,Y,BD,N,1.49,0,Likely Phomopsis canker
West,7,In,22,,, ,,,,,Y,BD,N,1.55,0,Likely Phomopsis canker
West,7,In,22,,, ,,,,,Y,SK,N,1.43,15,
West,7,In,23,DF,16.4,5,56.4,2,4.24,30,N,,N,,,
West,7,In,24,WRC,14.4,4.39,63.98,1,,,N,,N,,,
West,7,In,25,WRC,0.64,0.64,5.09,1,,,N,,N,,,"natural regen, measured at 0.25 m"
West,7,In,26,WRC,5.5,1.68,6.67,1,,,N,,N,,,natural regen
West,7,In,27,WRC,11.2,3.41,53.1,1,,,N,,N,,,
West,7,In,28,DF,8.7,2.65,24.49,1,,,Y,SW,N,0,65,natural regen
West,7,In,29,WRC,12.1,3.69,39.76,1,,,N,,N,,,
West,7,In,30,WRC,11.5,3.51,39.58,1,,,N,,N,,,
West,7,In,31,WRC,8.7,2.65,23.48,1,,,N,,N,,,
West,7,In,32,WRC,4.9,1.49,6.68,1,,,N,,N,,,natural regen
West,7,In,33,WRC,14.4,4.39,70.65,1,,,N,,N,,,
West,7,In,34,WRC,6.2,1.89,10.32,1,,,N,,N,,,natural regen
West,7,In,35,DF,15,4.57,62.93,1,,,Y,BD,N,5.6,0,"dead needles, branch damage. Likely Phomopsis canker"
West,7,In,35,,, ,,,,,Y,BD,N,3.8,0,Likely Phomopsis canker
West,7,In,35,,, ,,,,,Y,BD,N,2.9,0,Likely Phomopsis canker
West,7,In,35,,, ,,,,,Y,SW,N,0,150,
West,7,In,36,WRC,14,4.27,80.05,1,,,N,,N,,,
West,7,In,37,WRC,4.9,1.49,8.44,1,,,N,,N,,,Natural regen
West,7,In,38,WRC,3.6,1.1,10.6,1,,,N,,N,,,"natural regen, measured at 0.5 m"
West,7,In,39,DF,10.1,3.08,27.98,1,,,Y,SK,Y,1.92,30,"original top dead, many needles dead, Dfs estimated"
West,7,In,39,,, ,,,,,Y,BD,Y,1.92,0,Likely Phomopsis canker
West,7,In,39,,, ,,,,,Y,BD,Y,1.8,0,Likely Phomopsis canker
West,7,In,39,,, ,,,,,Y,BD,Y,1.68,0,Likely Phomopsis canker
West,7,In,39,,, ,,,,,Y,BD,Y,1.4,0,Likely Phomopsis canker
West,7,In,39,,, ,,,,,Y,BD,Y,1.16,0,Likely Phomopsis canker
West,7,In,40,WRC,14.7,4.48,68.22,1,,,N,,N,,,
West,7,In,41,WRC,8.9,2.71,31.59,1,,,N,,N,,,
West,7,In,42,WRC,10.3,3.14,41.09,1,,,N,,N,,,
West,7,In,43,WRC,9.1,2.77,27.41,1,,,N,,N,,,
West,7,In,44,WRC,12,3.66,51.7,1,,,N,,N,,,
West,7,In,45,WRC,6,1.83,8.18,1,,,N,,N,,,natural regen
West,7,In,46,WRC,13.1,3.99,63.7,1,,,N,,N,,,
West,7,In,47,WRC,8,2.44,20.5,1,,,Y,CR,N,0.2,20,"chlorotic, natural regen"
West,7,In,48,WRC,5.4,1.65,9.05,1,,,N,,N,,,natural regen
West,7,In,49,WRC,10.1,3.08,28.34,1,,,Y,CR,N,0,35,
West,7,In,49,,, ,,,,,Y,BD,N,0.73,0,
West,7,In,50,WRC,6.4,1.95,10.57,1,,,N,,N,,,natural regen
West,7,In,51,WRC,12.2,3.72,57.85,1,,,N,,N,,,
West,7,In,52,WRC,12.1,3.69,53.68,1,,,N,,N,,,chlorotic
West,7,In,53,DF,9.3,2.83,25,1,,,Y,BD,N,1.28,0,Likely Phomopsis canker
West,7,In,53,,, ,,,,,Y,BD,N,1.22,0,Likely Phomopsis canker
West,7,In,53,,, ,,,,,Y,BD,N,1.16,0,Likely Phomopsis canker
West,7,In,53,,, ,,,,,Y,BD,N,1.07,0,Likely Phomopsis canker
West,7,In,53,,, ,,,,,Y,SK,N,0.35,15,
West,7,In,54,WRC,12.3,3.75,57.33,1,,,N,,N,,,
West,7,In,55,WRC,6,1.83,11.95,1,,,N,,N,,,natural regen
East,6,In,1,WRC,13,3.96,47.72,1,,50,N,,N,,,
East,6,In,2,WRC,12.4,3.78,50.62,1,,115,N,,N,,,some dead needles
East,6,In,3,DF,8.1,2.47,27.95,1,,95,N,,N,,,
East,6,In,4,DF,17.4,5.3,64.39,1,,120,Y,BD,N,0.5,0,Likely Phomopsis canker
East,6,In,4,,, ,,,,,Y,BD,N,0.9,0,
East,6,In,5,DF,8.1,2.47,27.15,1,,85,Y,BD,Y,1.27,0,Likely Phomopsis canker. Dead needles on some branches
East,6,In,5,,, ,,,,,Y,SK,Y,0.2,0,
East,6,In,5,,, ,,,,,Y,SK,Y,0.6,0,
East,6,In,5,,, ,,,,,Y,BD,Y,0.83,0,
East,6,In,5,,, ,,,,,Y,BD,Y,0.98,0,
East,6,In,6,WRC,3.51,1.07,9.23,1,,,Y,BD,N,0.27,0,"natural regen, measured at 0.5m"
East,6,In,7,WRC,14.5,4.42,60.73,1,,130,N,,N,,,
East,6,In,8,WRC,1.45,1.45,4.49,1,,,N,,N,,,natural regen
East,6,In,9,WRC,9.7,2.96,38.4,1,,55,N,,N,,,
East,6,In,10,WRC,11.65,3.55,43.33,1,,,N,,N,,,
East,6,In,11,WRC,13,3.96,54.01,1,,140,N,,N,,,
East,6,In,12,DF,7.9,2.41,15.62,1,,,N,,N,,,natural regen
East,6,In,13,WRC,1.86,1.86,9.61,1,,,N,,N,,,natural regen
East,6,In,14,WRC,11.9,3.63,70.14,1,,,Y,BD,N,1.65,0,photo
East,6,In,14,,, ,,,,,Y,BD,N,1.1,0,photo
East,6,In,15,WRC,1.15,1.15,8.53,1,,,N,,N,,,"natural regen, m @ 0.5 m "
East,6,In,16,DF,9.2,2.8,30.67,1,,,Y,BD,N,0.6,0,Likely Phomopsis canker. Dead needles
East,6,In,17,DF,7.6,2.32,29.22,2,1.95,,Y,SK,n,0.33,0,diam @ 0.9
East,6,In,17,,, ,,,,115,Y,BD,Y,0.28,0,Likely Phomopsis canker. Dead needles
East,6,In,17,,, ,,,,,Y,BD,Y,0.62,0,
East,6,In,17,,, ,,,,,Y,SW,Y,0,115,
East,6,In,18,WRC,9.8,2.99,46.18,1,,,Y,BD,N,1.51,0,BD continuous until 6.6ft
East,6,In,18,,, ,,,,,Y,BD,N,0.23,0,same as damage on tree #14
East,6,In,18,,, ,,,,,Y,BD,N,0.79,0,
East,6,In,18,,, ,,,,,Y,BD,N,1.5,0,
East,6,In,19,WRC,1.34,1.34,5.43,1,,,N,,N,,,natural regen
East,6,In,20,DF,12.4,3.78,41.17,1,,,N,,N,,,"dead needles, fungal damage on branches"
East,6,In,21,DF,12.6,3.84,39.81,1,,,Y,BD,N,0.25,0,"dead needles, Likely Phomopsis canker"
East,6,In,22,DF,10.9,3.32,32.32,1,,,N,,N,,,"dead needles, Likely Phomopsis canker"
East,6,In,23,WRC,1.09,1.09,9.68,1,,,N,,N,,,"natural regen, m @ 0.5m"
East,6,In,24,DF,11,3.35,33.41,1,,65,Y,BD,N,0.7,0,"dead needles, fungal damage on branches "
East,6,In,25,DF,11.1,3.38,37.99,1,,,Y,BD,N,0.62,0,"chlorotic, Likely Phomopsis canker"
East,6,In,26,WRC,7.8,2.38,26.07,1,,,N,,N,,,
East,6,In,27,WRC,1.13,1.13,10.62,1,,,N,,N,,,"natural regen, m @ 0.5 "
East,6,In,28,DF,6.9,2.1,19.31,1,,,N,,N,,,natural regen
East,6,In,29,WRC,1.54,1.54,6.22,1,,,N,,N,,,Natural regen
East,6,In,30,WRC,8.5,2.59,26.12,1,,,N,,N,,,
East,6,In,31,DF,13.2,4.02,47.16,1,,,N,,N,,,
East,6,In,32,WRC,6.7,2.04,18.85,1,,,N,,N,,,
East,6,In,33,WRC,9,2.74,32.69,1,,,N,,N,,,
East,6,In,34,DF,11.9,3.63,43.72,1,,,N,,N,,,"dead needles, fungal damage"
East,6,In,35,WRC,13.8,4.21,90.21,1,,,N,,N,,,
East,6,In,36,WRC,9.9,3.02,39.48,1,,,Y,BD,N,1.57,0,
East,6,In,36,,, ,,,,,Y,BD,N,0.94,0,
East,6,In,36,,, ,,,,,Y,BD,N,1.52,0,
East,6,In,36,,, ,,,,,Y,BD,N,1.62,0,
East,6,In,36,,, ,,,,,Y,BD,N,1.22,0,
East,6,In,37,WRC,1.37,1.37,4.87,1,,,N,,N,,,Natural regen
East,6,In,38,WRC,11.2,3.41,54.62,1,,,N,,N,,,Some dead needles
East,6,In,39,WRC,6.9,2.1,18.04,1,,,N,,N,,,some dead/chlorotic needles
East,6,In,40,WRC,12.5,3.81,64.6,1,,,Y,BD,N,1.05,0,weird branch (photo)
East,6,In,41,WRC,5.2,1.58,6.74,1,,,N,,N,,,natural regen
East,6,In,42,WRC,6.5,1.98,16.21,1,,,N,,N,,,natural regen
East,6,In,43,DF,12.3,3.75,32.13,1,,,N,,N,,,growing within crown of #44
East,6,In,44,DF,17.2,5.24,65.65,1,,,N,,N,,,
East,6,In,45,WRC,5.2,1.58,5.99,1,,,N,,N,,,natural regen
East,6,In,46,DF,13.1,3.99,42.62,1,,,Y,BD,N,0.95,0,some needles dying
East,6,In,47,DF,10.2,3.11,35.86,1,,,Y,BD,N,0.96,0,Likely Phomopsis canker
East,6,In,47,,, ,,,,,Y,BD,N,1.89,0,Likely Phomopsis canker
East,6,In,47,,, ,,,,,Y,BD,N,2.1,0,Likely Phomopsis canker
East,6,In,48,WRC,4.5,1.37,10.44,1,,,N,,N,,,"natural regen, measured at 0.5m"
East,6,In,49,DF,8,2.44,19.31,1,,,Y,BD,N,0.65,0,Likely Phomopsis canker
East,6,In,50,WRC,12,3.66,55.03,1,,,N,,N,,,some dead needles
East,6,In,51,WRC,9.9,3.02,30.37,1,,,N,,N,,,some dead needles
